CÓDIGO ATUAL,NOME ATUAL,NOME NOVO,PROPOSTA DO DÓRIA
2463-10,BURGO PAULISTA – TERM. ARICANDUVA,TERM. A. E. CARVALHO – VILA JACUI CIRCULAR 2,CORTADA
2522-10,JD. STO. ANTÔNIO – METRÔ ITAQUERA,JD. STO. ANTÔNIO – METRÔ ITAQUERA,MANTIDA
2523-10,VL. PROGRESSO – TERM. A. E. CARVALHO,VL. PROGRESSO – TERM. A. E. CARVALHO,MANTIDA
253F-10,TERM. A. E. CARVALHO – TERM. SÃO MATEUS,TERM. A. E. CARVALHO – CPTM DOM BOSCO,CORTADA
2551-10,TERM. A. E. CARVALHO – TERM. PQ. D. PEDRO II,,EXTINTA
2552-10,VL. MARA – TERM. PQ. D. PEDRO II,CPTM VL. MARA – TERM. PQ. D. PEDRO II,CORTADA
2552-41,JD. SÃO MARTINHO – TERM. PQ. D. PEDRO II,,EXTINTA
2582-10,VL. NOVA CURUÇÁ – TERM. PQ. D. PEDRO II,VL. NOVA CURUÇÁ – TERM. SÃO MIGUEL,CORTADA
2582-10,VL. NOVA CURUÇÁ – TERM. PQ. D. PEDRO II,VL. NOVA CURUÇÁ – TERM. PQ. D. PEDRO II,MANTIDA
2582-21,CID. PEDRO JOSÉ NUNES – TERM. PQ. D. PEDRO II,,EXTINTA
2583-10,VL. CURUÇÁ – TERM. ARICANDUVA,VL. CURUÇÁ – TERM. SÃO MIGUEL,CORTADA
2583-10,VL. CURUÇÁ – TERM. ARICANDUVA,VL. CURUÇÁ – TERM. ARICANDUVA,MANTIDA
2590-10,UNIÃO DE VL. NOVA – PQ. D. PEDRO II,UNIÃO DE VL. NOVA – TERM. ARICANDUVA,CORTADA
2590-10,UNIÃO DE VL. NOVA – PQ. D. PEDRO II,UNIÃO DE VL. NOVA – PQ. D. PEDRO II,MANTIDA
2626-10,JD. NAZARÉ – TERM. PQ. D. PEDRO II,JD. NAZARÉ – TERM. SÃO MIGUEL,CORTADA
2626-10,JD. NAZARÉ – TERM. PQ. D. PEDRO II,JD. NAZARÉ – TERM. PQ. D. PEDRO II,MANTIDA
263C-10,JD. HELENA – COHAB II,JD. HELENA – CPTM JOSÉ BONIFÁCIO,CORTADA
263J-10,PENHA – CONJ. JOSÉ BONIFÁCIO,PENHA – CONJ. JOSÉ BONIFÁCIO,MANTIDA
2666-10,JD. CAMARGO VELHO – TERM. PQ. D. PEDRO II,JD. CAMARGO VELHO – TERM. PQ. D. PEDRO II,MANTIDA
2666-21,JD. CAMARGO VELHO – TERM. PQ. D. PEDRO II,,EXTINTA
2678-10,OLIVEIRINHA – TERM. PQ. D. PEDRO II,OLIVEIRINHA – TERM. PQ. D. PEDRO II,MANTIDA
2678-41,JD. CAMARGO NOVO – TERM. PQ. D. PEDRO II,,EXTINTA
2702-10,VL. AMERICANA – METRÔ ARTUR ALVIM,VL. PROGRESSO – TERM. SÃO MIGUEL,CORTADA
2702-21,JD. PEDRO JOSÉ NUNES – METRÔ ARTUR ALVIM,,EXTINTA
